setname,solvername,problemname,status,solutionstatus,objvalue,runtime,usedlinksrate
DUMMY04,DQL_DUMMY,graphmapping_e0841ca9,1,ok,10,0.419,12.0
DUMMY07,DQL_DUMMY,graphmapping_df23f9d4,1,ok,10,0.422,12.0
DUMMY04,GREEDY,graphmapping_e0841ca9,1,ok,34,1.616,13.735
DUMMY04,ILP_GUROBI,graphmapping_e0841ca9,1,ok,40,4.884,4.0
DUMMY07,GREEDY,graphmapping_df23f9d4,1,ok,34,1.587,13.735
DUMMY04,QL_DUMMY,graphmapping_e0841ca9,1,ok,40,2.085,13.7
DUMMY2,DQL_DUMMY,graphmapping_6a16f3d5,1,ok,10,0.353,12.0
DUMMY07,ILP_GUROBI,graphmapping_df23f9d4,1,ok,70,69.716,4.0
DUMMY07,QL_DUMMY,graphmapping_df23f9d4,1,ok,46,3.807,13.826
DUMMY,DQL_DUMMY,graphmapping_1114cf92,1,ok,10,0.652,12.0
DUMMY2,GREEDY,graphmapping_6a16f3d5,1,ok,34,1.865,13.735
DUMMY2,ILP_GUROBI,graphmapping_6a16f3d5,1,ok,80,2615.656,4.0
DUMMY2,QL_DUMMY,graphmapping_6a16f3d5,1,ok,46,2.301,13.826
DUMMY,GREEDY,graphmapping_1114cf92,1,ok,34,2.509,13.735
DUMMY,ILP_GUROBI,graphmapping_1114cf92,1,ok,80,778.247,4.0
DUMMY,QL_DUMMY,graphmapping_1114cf92,1,ok,46,2.319,13.826
